model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
DeepLabV3+ (R50),0,Part02/0141,0000.png,data/TP-Dataset/GroundTruth/Part02/0141.png,0.110032362460,0.005860805861,0.011128840882,44,1,3,0,43,3,46
DeepLabV3+ (R50),1,Part03/0545,0001.png,data/TP-Dataset/GroundTruth/Part03/0545.png,0.951271401074,0.817290351668,0.879205870770,43,1,19,0,42,19,61
DeepLabV3+ (R50),2,Part08/1179,0002.png,data/TP-Dataset/GroundTruth/Part08/1179.png,0.889328063241,0.404921700224,0.556474092697,5,1,0,0,4,0,4
DeepLabV3+ (R50),3,Part03/0686,0003.png,data/TP-Dataset/GroundTruth/Part03/0686.png,0.968744991184,0.838852097130,0.899131529579,15,1,0,0,14,0,14
DeepLabV3+ (R50),4,Part05/0741,0004.png,data/TP-Dataset/GroundTruth/Part05/0741.png,0.993890020367,0.976038338658,0.984883292677,1,1,0,0,0,0,0
DeepLabV3+ (R50),5,Part02/0495,0005.png,data/TP-Dataset/GroundTruth/Part02/0495.png,0.730040206778,0.772326350606,0.750588178264,10,3,5,1,7,4,11
DeepLabV3+ (R50),6,Part03/0656,0006.png,data/TP-Dataset/GroundTruth/Part03/0656.png,0.979496738117,0.584408743745,0.732047383763,4,4,0,0,0,0,0
DeepLabV3+ (R50),7,Part02/0158,0007.png,data/TP-Dataset/GroundTruth/Part02/0158.png,0.796312554873,0.880624426079,0.836349003665,11,1,4,0,10,4,14
DeepLabV3+ (R50),8,Part02/0077,0008.png,data/TP-Dataset/GroundTruth/Part02/0077.png,0.920554672830,0.324219273556,0.479543403298,234,2,145,0,232,145,377
DeepLabV3+ (R50),9,Part08/1284,0009.png,data/TP-Dataset/GroundTruth/Part08/1284.png,0.994517543860,0.608835341365,0.755289036979,4,2,1,0,2,1,3
DeepLabV3+ (R50),10,Part04/0705,0010.png,data/TP-Dataset/GroundTruth/Part04/0705.png,0.348976963800,0.748396750748,0.475996868398,91,1,59,0,90,59,149
DeepLabV3+ (R50),11,Part02/0189,0011.png,data/TP-Dataset/GroundTruth/Part02/0189.png,0.917781079742,0.963855421687,0.940254155315,26,2,40,0,24,40,64
DeepLabV3+ (R50),12,Part08/1023,0012.png,data/TP-Dataset/GroundTruth/Part08/1023.png,0.996026490066,0.388996763754,0.559486752558,7,1,1,0,6,1,7
DeepLabV3+ (R50),13,Part02/0122,0013.png,data/TP-Dataset/GroundTruth/Part02/0122.png,0.818394502120,0.900818249442,0.857630566179,89,1,28,0,88,28,116
DeepLabV3+ (R50),14,Part07/0841,0014.png,data/TP-Dataset/GroundTruth/Part07/0841.png,1.000000000000,0.893292682927,0.943639291465,1,1,0,0,0,0,0
DeepLabV3+ (R50),15,Part02/0383,0015.png,data/TP-Dataset/GroundTruth/Part02/0383.png,0.450804622529,0.996769727734,0.620829459679,65,1,78,0,64,78,142
DeepLabV3+ (R50),16,Part02/0067,0016.png,data/TP-Dataset/GroundTruth/Part02/0067.png,0.808814916048,0.514028507127,0.628576166392,169,1,118,0,168,118,286
DeepLabV3+ (R50),17,Part08/0986,0017.png,data/TP-Dataset/GroundTruth/Part08/0986.png,0.995464852608,0.983505154639,0.989448865032,1,1,0,0,0,0,0
DeepLabV3+ (R50),18,Part03/0660,0018.png,data/TP-Dataset/GroundTruth/Part03/0660.png,0.993176648976,0.669291338583,0.799684004524,3,1,3,0,2,3,5
DeepLabV3+ (R50),19,Part07/0852,0019.png,data/TP-Dataset/GroundTruth/Part07/0852.png,1.000000000000,0.575000000000,0.730158730158,1,2,0,0,1,0,1
