model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
PSPNet (R50),0,Part02/0141,0000.png,data/TP-Dataset/GroundTruth/Part02/0141.png,0.022080000000,0.013186813187,0.016512114866,25,1,8,0,24,8,32
PSPNet (R50),1,Part03/0545,0001.png,data/TP-Dataset/GroundTruth/Part03/0545.png,0.897179916928,0.830139765555,0.862358871321,78,1,16,0,77,16,93
PSPNet (R50),2,Part08/1179,0002.png,data/TP-Dataset/GroundTruth/Part08/1179.png,1.000000000000,0.310961968680,0.474402730375,2,1,0,0,1,0,1
PSPNet (R50),3,Part03/0686,0003.png,data/TP-Dataset/GroundTruth/Part03/0686.png,0.967086614173,0.855343461888,0.907789246213,13,1,1,0,12,1,13
PSPNet (R50),4,Part05/0741,0004.png,data/TP-Dataset/GroundTruth/Part05/0741.png,0.993927125506,0.976038338658,0.984901510177,1,1,0,0,0,0,0
PSPNet (R50),5,Part02/0495,0005.png,data/TP-Dataset/GroundTruth/Part02/0495.png,0.626249456758,0.820286659316,0.710254060129,10,3,1,1,7,0,7
PSPNet (R50),6,Part03/0656,0006.png,data/TP-Dataset/GroundTruth/Part03/0656.png,0.919882550336,0.638398735844,0.753717396810,8,4,0,0,4,0,4
PSPNet (R50),7,Part02/0158,0007.png,data/TP-Dataset/GroundTruth/Part02/0158.png,0.437679083095,0.664830119376,0.527854527490,14,1,0,0,13,0,13
PSPNet (R50),8,Part02/0077,0008.png,data/TP-Dataset/GroundTruth/Part02/0077.png,0.994552387870,0.271545369253,0.426611758668,66,2,33,0,64,33,97
PSPNet (R50),9,Part08/1284,0009.png,data/TP-Dataset/GroundTruth/Part08/1284.png,0.904708520179,0.598393574297,0.720339313046,3,2,0,0,1,0,1
PSPNet (R50),10,Part04/0705,0010.png,data/TP-Dataset/GroundTruth/Part04/0705.png,0.534111862323,0.567550235143,0.550323576986,45,1,29,0,44,29,73
PSPNet (R50),11,Part02/0189,0011.png,data/TP-Dataset/GroundTruth/Part02/0189.png,0.870650700407,0.919746783745,0.894525588371,34,2,21,0,32,21,53
PSPNet (R50),12,Part08/1023,0012.png,data/TP-Dataset/GroundTruth/Part08/1023.png,1.000000000000,0.475080906149,0.644142167617,3,1,0,0,2,0,2
PSPNet (R50),13,Part02/0122,0013.png,data/TP-Dataset/GroundTruth/Part02/0122.png,0.701925513048,0.834862385321,0.762644225351,50,1,7,0,49,7,56
PSPNet (R50),14,Part07/0841,0014.png,data/TP-Dataset/GroundTruth/Part07/0841.png,1.000000000000,0.871951219512,0.931596091205,1,1,0,0,0,0,0
PSPNet (R50),15,Part02/0383,0015.png,data/TP-Dataset/GroundTruth/Part02/0383.png,0.910030572136,0.990770650669,0.948685818660,11,1,15,0,10,15,25
PSPNet (R50),16,Part02/0067,0016.png,data/TP-Dataset/GroundTruth/Part02/0067.png,0.925432333809,0.456564141035,0.611462078612,88,1,45,0,87,45,132
PSPNet (R50),17,Part08/0986,0017.png,data/TP-Dataset/GroundTruth/Part08/0986.png,0.995412844037,0.964948453608,0.979943937588,1,1,0,0,0,0,0
PSPNet (R50),18,Part03/0660,0018.png,data/TP-Dataset/GroundTruth/Part03/0660.png,0.973813420622,0.780738946093,0.866653031429,3,1,0,0,2,0,2
PSPNet (R50),19,Part07/0852,0019.png,data/TP-Dataset/GroundTruth/Part07/0852.png,1.000000000000,0.520000000000,0.684210526315,1,2,0,0,1,0,1
