model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
SegFormer-B2 + Skeleton + clDice-v2,0,Part02/0141,0000.png,data/TP-Dataset/GroundTruth/Part02/0141.png,0.617444529457,0.736996336996,0.671944221086,29,1,11,0,28,11,39
SegFormer-B2 + Skeleton + clDice-v2,1,Part03/0545,0001.png,data/TP-Dataset/GroundTruth/Part03/0545.png,0.964658701646,0.922565374211,0.943142605539,10,1,14,0,9,14,23
SegFormer-B2 + Skeleton + clDice-v2,2,Part08/1179,0002.png,data/TP-Dataset/GroundTruth/Part08/1179.png,0.314285714286,0.080536912752,0.128217581350,1,1,1,0,0,1,1
SegFormer-B2 + Skeleton + clDice-v2,3,Part03/0686,0003.png,data/TP-Dataset/GroundTruth/Part03/0686.png,0.779639915725,0.899623425529,0.835345254592,25,1,157,0,24,157,181
SegFormer-B2 + Skeleton + clDice-v2,4,Part05/0741,0004.png,data/TP-Dataset/GroundTruth/Part05/0741.png,0.950581395349,0.992012779553,0.970855265988,1,1,18,0,0,18,18
SegFormer-B2 + Skeleton + clDice-v2,5,Part02/0495,0005.png,data/TP-Dataset/GroundTruth/Part02/0495.png,0.953576504027,0.960859977949,0.957204385999,3,3,18,1,0,17,17
SegFormer-B2 + Skeleton + clDice-v2,6,Part03/0656,0006.png,data/TP-Dataset/GroundTruth/Part03/0656.png,0.901058444547,0.867526994996,0.883974850449,8,4,50,0,4,50,54
SegFormer-B2 + Skeleton + clDice-v2,7,Part02/0158,0007.png,data/TP-Dataset/GroundTruth/Part02/0158.png,0.982857142857,0.953168044077,0.967784951132,1,1,13,0,0,13,13
SegFormer-B2 + Skeleton + clDice-v2,8,Part02/0077,0008.png,data/TP-Dataset/GroundTruth/Part02/0077.png,0.993679964142,0.823750167538,0.900770844141,57,2,147,0,55,147,202
SegFormer-B2 + Skeleton + clDice-v2,9,Part08/1284,0009.png,data/TP-Dataset/GroundTruth/Part08/1284.png,0.982625482625,0.706024096386,0.821671088044,10,2,15,0,8,15,23
SegFormer-B2 + Skeleton + clDice-v2,10,Part04/0705,0010.png,data/TP-Dataset/GroundTruth/Part04/0705.png,0.847622294188,0.992518170158,0.914365554926,32,1,20,0,31,20,51
SegFormer-B2 + Skeleton + clDice-v2,11,Part02/0189,0011.png,data/TP-Dataset/GroundTruth/Part02/0189.png,0.970345640220,0.998774760057,0.984354977833,2,2,27,0,0,27,27
SegFormer-B2 + Skeleton + clDice-v2,12,Part08/1023,0012.png,data/TP-Dataset/GroundTruth/Part08/1023.png,0.988493723849,0.460194174757,0.628015259790,3,1,9,0,2,9,11
SegFormer-B2 + Skeleton + clDice-v2,13,Part02/0122,0013.png,data/TP-Dataset/GroundTruth/Part02/0122.png,0.341911467185,0.999256136871,0.509492073649,49,1,39,0,48,39,87
SegFormer-B2 + Skeleton + clDice-v2,14,Part07/0841,0014.png,data/TP-Dataset/GroundTruth/Part07/0841.png,0.957198443580,1.000000000000,0.978131212723,1,1,10,0,0,10,10
SegFormer-B2 + Skeleton + clDice-v2,15,Part02/0383,0015.png,data/TP-Dataset/GroundTruth/Part02/0383.png,0.828019131128,0.999307798800,0.905635397519,7,1,15,0,6,15,21
SegFormer-B2 + Skeleton + clDice-v2,16,Part02/0067,0016.png,data/TP-Dataset/GroundTruth/Part02/0067.png,0.886303760222,0.667216804201,0.761311792053,72,1,312,0,71,312,383
SegFormer-B2 + Skeleton + clDice-v2,17,Part08/0986,0017.png,data/TP-Dataset/GroundTruth/Part08/0986.png,0.877939529675,0.983505154639,0.927728941045,1,1,1,0,0,1,1
