model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
SegFormer-B2 + Skeleton,0,Part02/0141,0000.png,data/TP-Dataset/GroundTruth/Part02/0141.png,0.543383947939,0.070329670330,0.124540218054,20,1,0,0,19,0,19
SegFormer-B2 + Skeleton,1,Part03/0545,0001.png,data/TP-Dataset/GroundTruth/Part03/0545.png,0.929006085193,0.827096483318,0.875094290985,11,1,5,0,10,5,15
SegFormer-B2 + Skeleton,2,Part08/1179,0002.png,data/TP-Dataset/GroundTruth/Part08/1179.png,0.028169014085,0.000000000000,0.000000000000,2,1,0,0,1,0,1
SegFormer-B2 + Skeleton,3,Part03/0686,0003.png,data/TP-Dataset/GroundTruth/Part03/0686.png,0.561699532425,0.772237371770,0.650353655079,31,1,17,0,30,17,47
SegFormer-B2 + Skeleton,4,Part05/0741,0004.png,data/TP-Dataset/GroundTruth/Part05/0741.png,0.734939759036,0.996805111821,0.846073484629,2,1,0,0,1,0,1
SegFormer-B2 + Skeleton,5,Part02/0495,0005.png,data/TP-Dataset/GroundTruth/Part02/0495.png,0.820152314001,0.882579933848,0.850221725642,6,3,3,1,3,2,5
SegFormer-B2 + Skeleton,6,Part03/0656,0006.png,data/TP-Dataset/GroundTruth/Part03/0656.png,0.958662157084,0.574664208586,0.718579999843,13,4,2,0,9,2,11
SegFormer-B2 + Skeleton,7,Part02/0158,0007.png,data/TP-Dataset/GroundTruth/Part02/0158.png,0.435492651062,1.000000000000,0.606750094804,6,1,1,0,5,1,6
SegFormer-B2 + Skeleton,8,Part02/0077,0008.png,data/TP-Dataset/GroundTruth/Part02/0077.png,0.766444964187,0.857257740249,0.809311798556,89,2,127,0,87,127,214
SegFormer-B2 + Skeleton,9,Part08/1284,0009.png,data/TP-Dataset/GroundTruth/Part08/1284.png,0.896663078579,0.733333333333,0.806815180065,7,2,1,0,5,1,6
SegFormer-B2 + Skeleton,10,Part04/0705,0010.png,data/TP-Dataset/GroundTruth/Part04/0705.png,0.491220445063,0.914065840103,0.639026842475,45,1,44,0,44,44,88
