model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
UPerNet (R50),0,Part02/0141,0000.png,data/TP-Dataset/GroundTruth/Part02/0141.png,0.218634001485,0.657875457875,0.328197128503,26,1,8,0,25,8,33
UPerNet (R50),1,Part03/0545,0001.png,data/TP-Dataset/GroundTruth/Part03/0545.png,0.708915906788,0.812443642922,0.757157270213,37,1,23,0,36,23,59
UPerNet (R50),2,Part08/1179,0002.png,data/TP-Dataset/GroundTruth/Part08/1179.png,0.537162162162,0.382550335570,0.446860439316,2,1,0,0,1,0,1
UPerNet (R50),3,Part03/0686,0003.png,data/TP-Dataset/GroundTruth/Part03/0686.png,0.628172163220,0.790936242046,0.700220121720,58,1,1,0,57,1,58
UPerNet (R50),4,Part05/0741,0004.png,data/TP-Dataset/GroundTruth/Part05/0741.png,0.987927565392,0.950479233227,0.968841664718,1,1,0,0,0,0,0
UPerNet (R50),5,Part02/0495,0005.png,data/TP-Dataset/GroundTruth/Part02/0495.png,0.712967986978,0.767364939361,0.739167016228,14,3,0,1,11,1,12
UPerNet (R50),6,Part03/0656,0006.png,data/TP-Dataset/GroundTruth/Part03/0656.png,0.951078379800,0.525151435344,0.676669948205,4,4,0,0,0,0,0
UPerNet (R50),7,Part02/0158,0007.png,data/TP-Dataset/GroundTruth/Part02/0158.png,0.407284768212,0.874196510560,0.555680257016,16,1,3,0,15,3,18
UPerNet (R50),8,Part02/0077,0008.png,data/TP-Dataset/GroundTruth/Part02/0077.png,0.718225286334,0.072778447929,0.132164538140,102,2,8,0,100,8,108
UPerNet (R50),9,Part08/1284,0009.png,data/TP-Dataset/GroundTruth/Part08/1284.png,0.825484764543,0.477911646586,0.605355024282,4,2,0,0,2,0,2
UPerNet (R50),10,Part04/0705,0010.png,data/TP-Dataset/GroundTruth/Part04/0705.png,0.444639363066,0.736639589568,0.554549722881,69,1,24,0,68,24,92
UPerNet (R50),11,Part02/0189,0011.png,data/TP-Dataset/GroundTruth/Part02/0189.png,0.832481544577,0.979375127629,0.899973746793,12,2,9,0,10,9,19
UPerNet (R50),12,Part08/1023,0012.png,data/TP-Dataset/GroundTruth/Part08/1023.png,0.992865636147,0.546278317152,0.704782639349,1,1,1,0,0,1,1
UPerNet (R50),13,Part02/0122,0013.png,data/TP-Dataset/GroundTruth/Part02/0122.png,0.383366790938,0.891643937515,0.536194194066,90,1,16,0,89,16,105
UPerNet (R50),14,Part07/0841,0014.png,data/TP-Dataset/GroundTruth/Part07/0841.png,1.000000000000,0.871951219512,0.931596091205,1,1,0,0,0,0,0
UPerNet (R50),15,Part02/0383,0015.png,data/TP-Dataset/GroundTruth/Part02/0383.png,0.497548140175,0.992155053069,0.662742623709,44,1,7,0,43,7,50
UPerNet (R50),16,Part02/0067,0016.png,data/TP-Dataset/GroundTruth/Part02/0067.png,0.740000000000,0.322730682671,0.449447275910,105,1,34,0,104,34,138
UPerNet (R50),17,Part08/0986,0017.png,data/TP-Dataset/GroundTruth/Part08/0986.png,1.000000000000,0.934020618557,0.965884861407,1,1,4,0,0,4,4
UPerNet (R50),18,Part03/0660,0018.png,data/TP-Dataset/GroundTruth/Part03/0660.png,0.990777338603,0.641429436705,0.778717206440,3,1,5,0,2,5,7
UPerNet (R50),19,Part07/0852,0019.png,data/TP-Dataset/GroundTruth/Part07/0852.png,1.000000000000,0.175000000000,0.297872340425,1,2,0,0,1,0,1
