[START] 2026-03-31 00:08:46 guard started
[CASES] core_main_only,w_0p20,w_0p30
[WAIT] 2026-03-31 00:08:46 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:10:16 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:11:46 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:13:16 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:14:46 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:16:17 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:17:47 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:19:17 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:20:47 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:22:17 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:23:47 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:25:17 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:26:47 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:28:17 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:29:47 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:31:17 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:32:48 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:34:18 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:35:48 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:37:18 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:38:48 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:40:18 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:41:48 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:43:18 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:44:48 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:46:18 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:47:48 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:49:19 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:50:49 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:52:19 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:53:49 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:55:19 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:56:49 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:58:19 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 00:59:49 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:01:19 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:02:49 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:04:20 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:05:50 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:07:20 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:08:50 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:10:20 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:11:50 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:13:20 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:14:50 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:16:20 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:17:50 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:19:20 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:20:51 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:22:21 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:23:51 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:25:21 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:26:51 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:28:21 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:29:51 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:31:21 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:32:51 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:34:21 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:35:52 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:37:22 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:38:52 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:40:22 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:41:52 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:43:22 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:44:52 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:46:22 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:47:52 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:49:22 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:50:52 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:52:23 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:53:53 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:55:23 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:56:53 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:58:23 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 01:59:53 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:01:23 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:02:53 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:04:23 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:05:53 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:07:23 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:08:53 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:10:24 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:11:54 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:13:24 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:14:54 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:16:24 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:17:54 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:19:24 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:20:54 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:22:24 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:23:54 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:25:24 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:26:55 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:28:25 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:29:55 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:31:25 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:32:55 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:34:25 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:35:55 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:37:25 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:38:55 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:40:25 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:41:56 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:43:26 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:44:56 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:46:26 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:47:56 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:49:26 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:50:56 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:52:26 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:53:56 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:55:26 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:56:56 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:58:27 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 02:59:57 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:01:27 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:02:57 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:04:27 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:05:57 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:07:27 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:08:57 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:10:27 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:11:57 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:13:28 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:14:58 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:16:28 another ablation train is active; hold core_main_only
[WAIT] 2026-03-31 03:17:58 another ablation train is active; hold core_main_only
