[2026-04-18 21:35:37,035] [CALIBRATION] normalize=True val_keep_original_size=False train_size=(512, 512)
[2026-04-18 21:35:37,316] Train from scratch!
[2026-04-18 21:36:03,317] iter=50/10000 lr=5.00004e-05 loss=0.951009
[2026-04-18 21:36:19,633] iter=100/10000 lr=0.0001 loss=0.610232
[2026-04-18 21:36:37,785] iter=150/10000 lr=0.00015 loss=0.515706
[2026-04-18 21:36:54,551] iter=200/10000 lr=0.0002 loss=0.505252
[2026-04-18 21:37:11,732] iter=250/10000 lr=0.00025 loss=0.962372
[2026-04-18 21:37:28,928] iter=300/10000 lr=0.0003 loss=0.788857
[2026-04-18 21:37:45,360] iter=350/10000 lr=0.00035 loss=0.866148
[2026-04-18 21:38:02,782] iter=400/10000 lr=0.0004 loss=0.829432
[2026-04-18 21:38:22,276] iter=450/10000 lr=0.00045 loss=0.370940
/root/miniconda3/envs/tpseg/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
[2026-04-18 21:38:38,927] iter=500/10000 lr=0.0005 loss=0.375890
[2026-04-18 21:38:50,744] [VAL] iter=500 aAcc=86.5251 mIoU=43.5943 mDice=47.0557 mFscore=47.0557 mPrecision=92.7910 mRecall=50.3374
[2026-04-18 21:38:51,853] [BEST] iter=500 mIoU=43.5943 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_500.pth
[2026-04-18 21:39:06,782] iter=550/10000 lr=0.000497368 loss=0.398103
[2026-04-18 21:39:21,595] iter=600/10000 lr=0.000494737 loss=0.876417
[2026-04-18 21:39:43,842] iter=650/10000 lr=0.000492105 loss=0.315685
[2026-04-18 21:40:02,395] iter=700/10000 lr=0.000489474 loss=0.799042
[2026-04-18 21:40:19,901] iter=750/10000 lr=0.000486842 loss=0.450176
[2026-04-18 21:40:36,684] iter=800/10000 lr=0.000484211 loss=0.582882
[2026-04-18 21:40:58,244] iter=850/10000 lr=0.000481579 loss=0.702854
[2026-04-18 21:41:15,300] iter=900/10000 lr=0.000478947 loss=0.306811
[2026-04-18 21:41:32,021] iter=950/10000 lr=0.000476316 loss=0.856823
[2026-04-18 21:41:49,541] iter=1000/10000 lr=0.000473684 loss=0.335896
[2026-04-18 21:42:02,427] [VAL] iter=1000 aAcc=86.9394 mIoU=45.4693 mDice=50.3986 mFscore=50.3986 mPrecision=89.3743 mRecall=52.0149
[2026-04-18 21:42:03,452] [BEST] iter=1000 mIoU=45.4693 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_1000.pth
[2026-04-18 21:42:18,945] iter=1050/10000 lr=0.000471053 loss=0.352228
[2026-04-18 21:42:37,700] iter=1100/10000 lr=0.000468421 loss=0.382392
[2026-04-18 21:42:56,277] iter=1150/10000 lr=0.000465789 loss=0.405204
[2026-04-18 21:43:12,495] iter=1200/10000 lr=0.000463158 loss=0.642729
[2026-04-18 21:43:31,618] iter=1250/10000 lr=0.000460526 loss=0.639447
[2026-04-18 21:43:49,202] iter=1300/10000 lr=0.000457895 loss=0.368679
[2026-04-18 21:44:06,978] iter=1350/10000 lr=0.000455263 loss=0.710137
[2026-04-18 21:44:23,922] iter=1400/10000 lr=0.000452632 loss=0.467898
[2026-04-18 21:44:43,795] iter=1450/10000 lr=0.00045 loss=0.803912
[2026-04-18 21:45:01,488] iter=1500/10000 lr=0.000447368 loss=0.607056
[2026-04-18 21:45:13,852] [VAL] iter=1500 aAcc=87.7038 mIoU=48.9165 mDice=56.0172 mFscore=56.0172 mPrecision=89.2246 mRecall=55.1243
[2026-04-18 21:45:14,993] [BEST] iter=1500 mIoU=48.9165 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_1500.pth
[2026-04-18 21:45:31,376] iter=1550/10000 lr=0.000444737 loss=0.573416
[2026-04-18 21:45:48,755] iter=1600/10000 lr=0.000442105 loss=0.460386
[2026-04-18 21:46:09,949] iter=1650/10000 lr=0.000439474 loss=0.601663
[2026-04-18 21:46:28,778] iter=1700/10000 lr=0.000436842 loss=0.925067
[2026-04-18 21:46:44,766] iter=1750/10000 lr=0.000434211 loss=0.460271
[2026-04-18 21:47:02,725] iter=1800/10000 lr=0.000431579 loss=0.361721
[2026-04-18 21:47:18,595] iter=1850/10000 lr=0.000428947 loss=0.379669
[2026-04-18 21:47:38,440] iter=1900/10000 lr=0.000426316 loss=0.763767
[2026-04-18 21:47:55,323] iter=1950/10000 lr=0.000423684 loss=0.836225
[2026-04-18 21:48:18,019] iter=2000/10000 lr=0.000421053 loss=0.671344
[2026-04-18 21:48:29,898] [VAL] iter=2000 aAcc=86.9811 mIoU=59.0399 mDice=70.4866 mFscore=70.4866 mPrecision=71.9511 mRecall=69.3060
[2026-04-18 21:48:30,949] [BEST] iter=2000 mIoU=59.0399 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_2000.pth
[2026-04-18 21:48:45,075] iter=2050/10000 lr=0.000418421 loss=0.428493
[2026-04-18 21:49:06,565] iter=2100/10000 lr=0.000415789 loss=0.616735
[2026-04-18 21:49:24,234] iter=2150/10000 lr=0.000413158 loss=0.272411
[2026-04-18 21:49:42,998] iter=2200/10000 lr=0.000410526 loss=0.534005
[2026-04-18 21:49:58,523] iter=2250/10000 lr=0.000407895 loss=0.393565
[2026-04-18 21:50:15,449] iter=2300/10000 lr=0.000405263 loss=0.583460
[2026-04-18 21:50:32,858] iter=2350/10000 lr=0.000402632 loss=0.319762
[2026-04-18 21:50:51,924] iter=2400/10000 lr=0.0004 loss=0.273324
[2026-04-18 21:51:09,743] iter=2450/10000 lr=0.000397368 loss=0.271298
[2026-04-18 21:51:28,144] iter=2500/10000 lr=0.000394737 loss=0.272062
[2026-04-18 21:51:40,532] [VAL] iter=2500 aAcc=89.0450 mIoU=61.9062 mDice=73.0880 mFscore=73.0880 mPrecision=77.7550 mRecall=70.2204
[2026-04-18 21:51:41,649] [BEST] iter=2500 mIoU=61.9062 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_2500.pth
[2026-04-18 21:51:55,301] iter=2550/10000 lr=0.000392105 loss=0.358547
[2026-04-18 21:52:16,213] iter=2600/10000 lr=0.000389474 loss=0.363478
[2026-04-18 21:52:31,424] iter=2650/10000 lr=0.000386842 loss=0.723600
[2026-04-18 21:52:49,212] iter=2700/10000 lr=0.000384211 loss=0.299644
[2026-04-18 21:53:06,787] iter=2750/10000 lr=0.000381579 loss=0.334887
[2026-04-18 21:53:28,714] iter=2800/10000 lr=0.000378947 loss=0.647647
[2026-04-18 21:53:45,189] iter=2850/10000 lr=0.000376316 loss=0.552889
[2026-04-18 21:54:02,971] iter=2900/10000 lr=0.000373684 loss=0.321114
[2026-04-18 21:54:20,566] iter=2950/10000 lr=0.000371053 loss=0.251850
[2026-04-18 21:54:41,380] iter=3000/10000 lr=0.000368421 loss=0.316988
[2026-04-18 21:54:53,340] [VAL] iter=3000 aAcc=88.2432 mIoU=61.5715 mDice=72.9641 mFscore=72.9641 mPrecision=75.0547 mRecall=71.3484
[2026-04-18 21:55:08,093] iter=3050/10000 lr=0.000365789 loss=0.253422
[2026-04-18 21:55:25,801] iter=3100/10000 lr=0.000363158 loss=0.452688
[2026-04-18 21:55:42,200] iter=3150/10000 lr=0.000360526 loss=0.318613
[2026-04-18 21:56:00,728] iter=3200/10000 lr=0.000357895 loss=0.285868
[2026-04-18 21:56:20,070] iter=3250/10000 lr=0.000355263 loss=0.675393
[2026-04-18 21:56:37,211] iter=3300/10000 lr=0.000352632 loss=0.714128
[2026-04-18 21:56:54,370] iter=3350/10000 lr=0.00035 loss=0.390808
[2026-04-18 21:57:14,915] iter=3400/10000 lr=0.000347368 loss=0.563150
[2026-04-18 21:57:31,789] iter=3450/10000 lr=0.000344737 loss=0.426216
[2026-04-18 21:57:47,563] iter=3500/10000 lr=0.000342105 loss=0.491224
[2026-04-18 21:57:59,706] [VAL] iter=3500 aAcc=87.9917 mIoU=62.1367 mDice=73.6591 mFscore=73.6591 mPrecision=74.3790 mRecall=73.0050
[2026-04-18 21:58:00,664] [BEST] iter=3500 mIoU=62.1367 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_3500.pth
[2026-04-18 21:58:18,392] iter=3550/10000 lr=0.000339474 loss=0.350169
[2026-04-18 21:58:36,231] iter=3600/10000 lr=0.000336842 loss=0.335478
[2026-04-18 21:58:53,569] iter=3650/10000 lr=0.000334211 loss=0.254057
[2026-04-18 21:59:11,522] iter=3700/10000 lr=0.000331579 loss=0.351513
[2026-04-18 21:59:31,143] iter=3750/10000 lr=0.000328947 loss=0.428473
[2026-04-18 21:59:46,089] iter=3800/10000 lr=0.000326316 loss=0.623329
[2026-04-18 22:00:04,785] iter=3850/10000 lr=0.000323684 loss=0.389041
