nohup: ignoring input
[MODEL] SegFormer-B2 (baseline) (segformer_b2_baseline) total=281 done=104 todo=177
[PROGRESS] segformer_b2_baseline: new=10, done_total=114/281
[PROGRESS] segformer_b2_baseline: new=20, done_total=124/281
[PROGRESS] segformer_b2_baseline: new=30, done_total=134/281
[PROGRESS] segformer_b2_baseline: new=40, done_total=144/281
[PROGRESS] segformer_b2_baseline: new=50, done_total=154/281
[PROGRESS] segformer_b2_baseline: new=60, done_total=164/281
[PROGRESS] segformer_b2_baseline: new=70, done_total=174/281
[PROGRESS] segformer_b2_baseline: new=80, done_total=184/281
[PROGRESS] segformer_b2_baseline: new=90, done_total=194/281
[PROGRESS] segformer_b2_baseline: new=100, done_total=204/281
[PROGRESS] segformer_b2_baseline: new=110, done_total=214/281
[PROGRESS] segformer_b2_baseline: new=120, done_total=224/281
[PROGRESS] segformer_b2_baseline: new=130, done_total=234/281
[PROGRESS] segformer_b2_baseline: new=140, done_total=244/281
[PROGRESS] segformer_b2_baseline: new=150, done_total=254/281
[PROGRESS] segformer_b2_baseline: new=160, done_total=264/281
[PROGRESS] segformer_b2_baseline: new=170, done_total=274/281
[MODEL_DONE] segformer_b2_baseline: new=177, skipped_done=104, total_written=281
[MODEL] SegFormer-B2 + Skeleton (segformer_b2_skeleton) total=281 done=0 todo=281
[PROGRESS] segformer_b2_skeleton: new=10, done_total=10/281
[PROGRESS] segformer_b2_skeleton: new=20, done_total=20/281
[PROGRESS] segformer_b2_skeleton: new=30, done_total=30/281
[PROGRESS] segformer_b2_skeleton: new=40, done_total=40/281
[PROGRESS] segformer_b2_skeleton: new=50, done_total=50/281
[PROGRESS] segformer_b2_skeleton: new=60, done_total=60/281
[PROGRESS] segformer_b2_skeleton: new=70, done_total=70/281
[PROGRESS] segformer_b2_skeleton: new=80, done_total=80/281
[PROGRESS] segformer_b2_skeleton: new=90, done_total=90/281
[PROGRESS] segformer_b2_skeleton: new=100, done_total=100/281
[PROGRESS] segformer_b2_skeleton: new=110, done_total=110/281
[PROGRESS] segformer_b2_skeleton: new=120, done_total=120/281
[PROGRESS] segformer_b2_skeleton: new=130, done_total=130/281
[PROGRESS] segformer_b2_skeleton: new=140, done_total=140/281
[PROGRESS] segformer_b2_skeleton: new=150, done_total=150/281
[PROGRESS] segformer_b2_skeleton: new=160, done_total=160/281
[PROGRESS] segformer_b2_skeleton: new=170, done_total=170/281
[PROGRESS] segformer_b2_skeleton: new=180, done_total=180/281
[PROGRESS] segformer_b2_skeleton: new=190, done_total=190/281
[PROGRESS] segformer_b2_skeleton: new=200, done_total=200/281
[PROGRESS] segformer_b2_skeleton: new=210, done_total=210/281
[PROGRESS] segformer_b2_skeleton: new=220, done_total=220/281
[PROGRESS] segformer_b2_skeleton: new=230, done_total=230/281
[PROGRESS] segformer_b2_skeleton: new=240, done_total=240/281
[PROGRESS] segformer_b2_skeleton: new=250, done_total=250/281
[PROGRESS] segformer_b2_skeleton: new=260, done_total=260/281
[PROGRESS] segformer_b2_skeleton: new=270, done_total=270/281
